Date,Open,High,Low,Close,Volume,Adj Close
2014-09-16,198.61,200.84,198.50,200.48,116070400,200.48
2014-09-15,199.16,199.32,198.38,198.98,76350000,198.98
2014-09-12,200.10,200.12,198.56,199.13,117409300,199.13
2014-09-11,199.27,200.33,199.12,200.30,66774400,200.30
2014-09-10,199.43,200.20,198.77,200.07,67189500,200.07
2014-09-09,200.41,200.55,198.91,199.32,88509200,199.32
2014-09-08,200.92,201.21,200.00,200.59,64105600,200.59
2014-09-05,200.17,201.19,199.41,201.11,102023800,201.11
2014-09-04,200.84,201.58,199.66,200.21,85033400,200.21
2014-09-03,201.38,201.41,200.22,200.50,57379700,200.50
2014-09-02,200.97,201.00,199.86,200.61,72265100,200.61
2014-08-29,200.45,200.73,199.82,200.71,65892400,200.71
2014-08-28,199.59,200.27,199.39,200.14,58180400,200.14
2014-08-27,200.43,200.57,199.94,200.25,47830600,200.25
2014-08-26,200.33,200.82,200.28,200.33,47257300,200.33
2014-08-25,200.14,200.59,199.15,200.20,63807100,200.20
2014-08-22,199.34,199.69,198.74,199.19,76069600,199.19
2014-08-21,199.09,199.76,198.93,199.50,67745600,199.50
2014-08-20,198.12,199.16,198.08,198.92,72632200,198.92
2014-08-19,197.84,198.54,197.44,198.39,58965900,198.39
2014-08-18,196.80,197.45,196.69,197.36,75249100,197.36
2014-08-15,196.47,196.65,194.31,195.72,139875400,195.72
2014-08-14,195.16,195.76,194.98,195.76,57246900,195.76
2014-08-13,194.29,195.06,193.96,194.84,68925300,194.84
2014-08-12,193.61,194.15,192.94,193.53,73632000,193.53
2014-08-11,193.97,194.66,193.71,193.80,74544000,193.80
2014-08-08,191.46,193.37,190.95,193.24,117014000,193.24
2014-08-07,192.94,193.13,190.55,191.03,135733000,191.03
2014-08-06,191.11,192.89,191.08,192.07,94818000,192.07
2014-08-05,193.10,193.60,191.31,192.01,152690000,192.01
2014-08-04,192.87,194.30,192.05,193.89,91340000,193.89
